Nr;Datum;Zeit;Heim;Gast;Tore;Punkte
006;23.08.14;19:00;TBV Lemgo;THW Kiel;27:21;2:0
002;23.08.14;19:00;SG Flensburg-Handewitt;TSG Lu-Friesenheim;29:23;2:0
003;23.08.14;19:00;TSV Hannover-Burgdorf;MT Melsungen;22:26;0:2
004;23.08.14;19:00;Bergischer HC;SG BBM Bietigheim;33:27;2:0
007;23.08.14;20:15;HC Erlangen;TuS N-Luebbecke;25:30;0:2
008;23.08.14;20:15type filter text;FRISCH AUF! Goeppingen;Fuechse Berlin;29:27;2:0
005;24.08.14;15:00;VfL Gummersbach;HSV Handball;27:27;1:1
009;24.08.14;17:15;TSV GWD Minden;HSG Wetzlar;24:30;0:2
001;24.08.14;17:15;Rhein-Neckar Loewen;SC Magdeburg;24:23;2:0
010;26.08.14;20:15;MT Melsungen;HBW Balingen-Weilstetten;31:20;2:0
011;26.08.14;20:15;THW Kiel;SG Flensburg-Handewitt;30:26;2:0
012;27.08.14;20:15;SG BBM Bietigheim;Rhein-Neckar Loewen;22:32;0:2
013;29.08.14;19:45;HSG Wetzlar;TBV Lemgo;32:25;2:0
014;29.08.14;19:45;TSG Lu-Friesenheim;FRISCH AUF! Goeppingen;23:29;0:2
015;29.08.14;19:45;HSV Handball;TSV Hannover-Burgdorf;23:23;1:1
016;29.08.14;19:45;Fuechse Berlin;Bergischer HC;32:23;2:0
017;29.08.14;19:45;MT Melsungen;VfL Gummersbach;26:27;0:2
018;29.08.14;19:45;SC Magdeburg;HC Erlangen;31:26;2:0
019;29.08.14;19:45;TuS N-Luebbecke;TSV GWD Minden;23:26;0:2
028;31.08.14;15:00;SG Flensburg-Handewitt;MT Melsungen;29:22;2:0
029;31.08.14;15:00;HBW Balingen-Weilstetten;TSV GWD Minden;28:25;2:0
021;31.08.14;17:15;HSV Handball;THW Kiel;19:20;0:2
022;31.08.14;17:15;TSV Hannover-Burgdorf;TuS N-Luebbecke;35:28;2:0
023;31.08.14;17:15;Bergischer HC;SC Magdeburg;24:25;0:2
024;31.08.14;17:15;VfL Gummersbach;TSG Lu-Friesenheim;30:24;2:0
025;31.08.14;17:15;TBV Lemgo;SG BBM Bietigheim;37:30;2:0
026;31.08.14;17:15;FRISCH AUF! Goeppingen;HSG Wetzlar;23:22;2:0
027;31.08.14;17:15;Rhein-Neckar Loewen;HC Erlangen;35:18;2:0
031;03.09.14;19:45;TuS N-Luebbecke;SG Flensburg-Handewitt;26:31;0:2
100;03.09.14;20:15;HBW Balingen-Weilstetten;THW Kiel;22:21;2:0
032;05.09.14;19:45;HSG Wetzlar;THW Kiel;29:32;0:2
033;06.09.14;18:15;Rhein-Neckar Loewen;HSV Handball;28:26;2:0
035;06.09.14;19:00;HC Erlangen;Bergischer HC;25:25;1:1
036;06.09.14;20:15;SG BBM Bietigheim;TSV GWD Minden;27:23;2:0
037;07.09.14;15:00;Fuechse Berlin;VfL Gummersbach;30:27;2:0
040;07.09.14;15:00;HBW Balingen-Weilstetten;TuS N-Luebbecke;23:23;1:1
038;07.09.14;17:15;MT Melsungen;TBV Lemgo;35:30;2:0
039;07.09.14;17:15;SC Magdeburg;FRISCH AUF! Goeppingen;32:32;1:1
034;07.09.14;17:15;TSG Lu-Friesenheim;TSV Hannover-Burgdorf;27:24;2:0
